Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Congo, Dem. Rep.",Access to electricity (% of total population),6.7,7.271540165,7.86341238,8.449001312,9.034368515,6,10.22869492,15.2,11.49338341,12.15801525,12.84067059,13.53834534,15.4,14.9667387,13.5,16.41916466
"Congo, Dem. Rep.",Renewable electricity share of total electricity output (%),99.94984955,99.91613552,99.86885246,99.88612331,99.88676575,99.90507187,99.39016307,98.89621923,98.7150616,98.90501655,98.91208096,98.88593493,99.88176563,99.89101477,99.87556561,99.82106911
"Congo, Dem. Rep.",Renewable energy share of Total Energy Produced (%),97.93995991,98.34260209,98.2700355,97.9716731,97.88228238,97.42185918,97.33286455,97.17172342,96.96544148,97.01889107,96.82782153,96.24517537,95.52836866,94.01274826,92.87131108,95.81769971
Costa Rica,Access to electricity (% of total population),98.686409,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291,99.409804
Costa Rica,Renewable electricity share of total electricity output (%),99.14727562,98.51742031,98.37873754,97.89346572,99.1965916,96.71912833,93.87144993,92.02209945,92.85412708,95.15574651,93.31107169,91.22253865,91.84195007,88.31460674,89.79152393,99.00110988
Costa Rica,Renewable energy share of Total Energy Produced (%),32.94784251,32.10903282,32.65263212,33.65982075,39.49662543,42.06059781,42.26487659,42.843379,43.13020527,42.26680959,42.31125269,40.50212372,38.62385459,38.07484182,37.84254113,38.73341388
Cote d'Ivoire,Access to electricity (% of total population),48.50034714,49.49349976,51.4,51.44882965,52.42313004,58.9,60.17105263,55.4053421,56.43788147,57.49144363,58.56303406,59.64964294,55.8,61.85590363,61.9,64.0861969
Cote d'Ivoire,Renewable electricity share of total electricity output (%),36.75,36.84749232,32.65961466,36.01336741,33.66606171,27.23112128,28.68258179,33.95489256,34.75862069,37.5234202,28.28164292,30.13608788,26.4395667,21.88235294,23.93193338,16.72597865
Cote d'Ivoire,Renewable energy share of Total Energy Produced (%),63.71597425,64.72613509,65.32070192,70.31969584,75.51890533,78.06971387,74.91404094,76.44510009,74.31726247,73.67293672,75.37014337,78.89574715,74.90455645,72.57985296,72.22378455,64.52802565
Croatia,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Croatia,Renewable electricity share of total electricity output (%),57.30267247,56.22895623,46.05273514,41.37355973,54.92552349,54.07061346,51.43542521,37.80789159,45.70847352,56.00598355,62.84130846,47.03842049,49.67431323,66.50175665,73.95802322,66.82683752
Croatia,Renewable energy share of Total Energy Produced (%),26.78818026,26.94549835,24.63118245,24.8401387,26.58523781,26.8368897,25.51721578,22.67215589,24.15591135,27.17825646,29.77504731,27.18623939,29.42194887,32.8375106,33.64819127,33.12746664
Cuba,Access to electricity (% of total population),97,97.28088379,97.61888885,97.9506073,98.28649139,98.62835693,98.97970581,99.33018494,99.6403656,99.85733032,99.96389771,99.99571228,100,100,100,100
Cuba,Renewable electricity share of total electricity output (%),6.872006386,6.569056801,6.656474935,5.363693865,5.609568888,3.180810846,3.036007044,3.046981389,3.970812829,3.924664486,3.241938265,3.226351351,3.711743,4.352142111,4.017349995,3.948146688
Cuba,Renewable energy share of Total Energy Produced (%),34.43082042,34.05064651,34.81082932,33.57159125,33.77568403,26.31836392,21.9680514,18.59356034,18.73183547,16.12421036,13.15763195,16.68021184,17.10235036,16.88796521,18.79844289,19.28132064
Cyprus,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,Renewable electricity share of total electricity output (%),0,0,0,0,0,0.022846699,0.021496131,0.061588996,0.295333727,0.594439118,1.371664788,3.611280179,5.448378206,7.622377622,7.287356322,8.780057357
Cyprus,Renewable energy share of Total Energy Produced (%),3.096656827,3.047474962,3.176415342,3.257164098,3.304328057,3.364850973,3.514238327,4.355311326,5.493663997,5.978516167,6.353225599,7.415751985,8.338900172,9.495930361,9.363295684,9.942066016
Czech Republic,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,Renewable electricity share of total electricity output (%),3.132586304,3.471455128,3.944996381,2.26888524,3.271273422,3.822728882,4.207808353,3.88541999,4.47926046,5.70119561,6.918135784,8.352539873,9.303586466,10.82341178,10.77841497,11.40457054
Czech Republic,Renewable energy share of Total Energy Produced (%),5.941129661,6.286779916,7.275512199,6.723767201,7.114114965,7.512847343,7.858287725,8.292580278,8.955101345,10.21416204,10.91771998,12.12060346,12.76281601,13.92371891,14.83074209,14.82856195
Denmark,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
